Date,Real_Rate,Policy_Deviations,Baa_Spread,VIX,Michigan_Sentiment,TR_CAPE,M2,Gold,BankCredit,Bubble
1990-01-01,3.78312,0.00137,1.73,17.24,93.0,,,,,0
1990-02-01,3.89947,0.11772,1.67,24.87,89.5,,,,,0
1990-03-01,3.80193,0.02018,1.62,21.9,91.3,,,,,0
1990-04-01,3.93867,0.22868,1.51,22.84,93.9,,,,,0
1990-05-01,4.00552,0.29553,1.65,18.43,90.6,,,,,0
1990-06-01,3.5887,-0.1213,1.74,17.09,88.3,,,,,0
1990-07-01,3.36164,-0.19231,1.73,16.26,88.2,,,,,0
1990-08-01,3.26737,-0.28658,1.66,21.64,76.4,,,,,0
1990-09-01,3.34727,-0.20668,1.75,29.58,72.8,,,,,0
1990-10-01,3.36012,0.21471,2.02,28.06,63.9,,,,,0
1990-11-01,3.12684,-0.01857,2.23,30.25,66.0,,,,,0
1990-12-01,2.76085,-0.38456,2.35,22.29,65.5,,,,,0
1991-01-01,2.48818,-0.46585,2.36,26.62,66.8,-9.358157766,3.81773399,-5.632695834,4.629527869,0
1991-02-01,2.19815,-0.75588,2.22,21.04,70.4,4.154002026,3.94124308,-4.058355438,4.256921287,0
1991-03-01,2.86655,-0.08748,1.98,20.86,87.7,4.975124378,4.131531927,-7.586027112,4.468694017,0
1991-04-01,2.89075,-0.0973,1.9,17.42,81.8,7.078763709,4.085457271,-2.721275426,4.023186988,0
1991-05-01,2.93607,-0.05198,1.79,17.77,78.3,2.944015444,4.449165781,-5.2298376,3.676591863,0
1991-06-01,3.32071,0.33266,1.68,16.87,82.1,0.377180575,4.300339173,-5.524553571,3.344580458,0
1991-07-01,3.48355,0.53115,1.62,18.64,82.9,1.327014218,4.081252907,-5.546218487,3.075317514,0
1991-08-01,3.28799,0.33559,1.75,15.47,82.0,13.74284227,3.485502776,-7.062994273,2.634492862,0
1991-09-01,3.05481,0.10241,1.86,16.57,83.0,19.20748487,3.081791925,-4.079412565,2.84366118,0
1991-10-01,3.09686,0.28264,1.96,14.81,78.3,23.02444571,3.092688614,-3.704743194,3.113793066,0
1991-11-01,2.92725,0.11303,2.03,15.6,69.1,19.64483907,3.153926316,-0.94637224,3.460331009,0
1991-12-01,2.68885,-0.12537,2.17,20.18,68.2,15.58510638,3.068647228,-3.986618344,3.624971394,0
1992-01-01,3.01566,0.12536,2.1,18.95,67.5,25.89189189,2.843933449,-6.99611327,3.991627293,0
1992-02-01,3.63101,0.74071,1.89,18.2,68.8,12.15953307,2.889998487,-7.437102571,3.807633804,0
1992-03-01,3.69658,0.80628,1.71,16.88,76.0,7.582938389,2.468466841,-7.193229901,3.376255373,0
