Date,Real Rate,Policy Deviations,TR Cape,M2 (in Billions),Gold,BAA Spread,Bank Credit (in Billions),VIX,Michigan Sentiment 
1/1/90,3.78312,0.00137,20.41,3166.8,381.7,1.73,2553.1934,17.24,93
2/1/90,3.89947,0.11772,19.74,3179.2,377,1.67,2571.6966,24.87,89.5
3/1/90,3.80193,0.02018,20.1,3190.1,383.6,1.62,2581.9378,21.9,91.3
4/1/90,3.93867,0.22868,20.06,3201.6,363.8,1.51,2595.2659,22.84,93.9
5/1/90,4.00552,0.29553,20.72,3200.6,363.3,1.65,2607.102,18.43,90.6
6/1/90,3.5887,-0.1213,21.21,3213.7,358.4,1.74,2623.7521,17.09,88.3
7/1/90,3.36164,-0.19231,21.1,3224.5,357,1.73,2630.6617,16.26,88.2
8/1/90,3.26737,-0.28658,19.21,3242,366.7,1.66,2641.1383,21.64,76.4
9/1/90,3.34727,-0.20668,18.17,3254.6,367.7,1.75,2646.9152,29.58,72.8
10/1/90,3.36012,0.21471,17.59,3259.3,356.3,2.02,2656.0564,28.06,63.9
11/1/90,3.12684,-0.01857,18.02,3262.6,348.7,2.23,2661.9621,30.25,66
12/1/90,2.76085,-0.38456,18.8,3271.8,358.7,2.35,2672.9673,22.29,65.5
1/1/91,2.48818,-0.46585,18.5,3287.7,360.2,2.36,2671.3942,26.62,66.8
2/1/91,2.19815,-0.75588,20.56,3304.5,361.7,2.22,2681.1717,21.04,70.4
3/1/91,2.86655,-0.08748,21.1,3321.9,354.5,1.98,2697.3167,20.86,87.7
4/1/91,2.89075,-0.0973,21.48,3332.4,353.9,1.9,2699.6783,17.42,81.8
5/1/91,2.93607,-0.05198,21.33,3343,344.3,1.79,2702.9545,17.77,78.3
6/1/91,3.32071,0.33266,21.29,3351.9,338.6,1.68,2711.5056,16.87,82.1
7/1/91,3.48355,0.53115,21.38,3356.1,337.2,1.62,2711.5629,18.64,82.9
8/1/91,3.28799,0.33559,21.85,3355,340.8,1.75,2710.7189,15.47,82
9/1/91,3.05481,0.10241,21.66,3354.9,352.7,1.86,2722.1845,16.57,83
10/1/91,3.09686,0.28264,21.64,3360.1,343.1,1.96,2738.7605,14.81,78.3
11/1/91,2.92725,0.11303,21.56,3365.5,345.4,2.03,2754.0748,15.6,69.1
12/1/91,2.68885,-0.12537,21.73,3372.2,344.4,2.17,2769.8616,20.18,68.2
1/1/92,3.01566,0.12536,23.29,3381.2,335,2.1,2778.0263,18.95,67.5
2/1/92,3.63101,0.74071,23.06,3400,334.8,1.89,2783.2609,18.2,68.8
3/1/92,3.69658,0.80628,22.7,3403.9,329,1.71,2788.385,16.88,76
4/1/92,3.64749,0.77707,22.71,3399.7,329.3,1.73,2795.8147,16.48,77.2
5/1/92,3.49757,0.62715,23.13,3398.6,330.1,1.74,2801.7545,16.61,79.2
6/1/92,3.52234,0.65192,22.72,3393.4,342.2,1.79,2805.9623,14.43,80.4
7/1/92,3.11547,0.3267,23.07,3393.9,367.2,2,2812.2443,13.34,76.6
8/1/92,3.09105,0.30227,23.18,3398.8,371.9,2.06,2821.5666,13.83,76.1
9/1/92,3.14245,0.35368,23.16,3410.3,392.2,2.2,2833.4436,13.4,75.6
10/1/92,3.04094,0.22536,22.76,3423.8,378.8,2.25,2839.2568,16.31,73.3
11/1/92,3.40259,0.58701,23.3,3426.5,355.3,2.09,2848.5443,16.67,85.3
12/1/92,3.38368,0.5681,24.02,3424.7,364.2,2.04,2860.642,12.8,91
1/1/93,3.1541,0.55806,23.87,3419.1,373.8,2.07,2859.6693,13.36,89.3
2/1/93,2.68366,0.08762,24.12,3414.5,383.3,2.13,2869.5695,12.33,86.6
3/1/93,2.62154,0.0255,24.48,3411.7,386.9,2.17,2882.7355,13.6,85.9
4/1/93,2.48401,-0.08603,24.01,3411.3,381.9,2.17,2892.3062,13.02,85.6
5/1/93,2.63401,0.06396,24.07,3436.9,384.1,2.17,2909.8332,12.9,80.3
6/1/93,2.56095,-0.00909,24.18,3442.4,377.3,2.11,2928.9824,13.67,81.5
7/1/93,2.62572,0.20582,24.12,3442,381.4,2.12,2944.4653,11.51,77
8/1/93,2.36695,-0.05294,24.41,3445.7,385.6,1.92,2953.6896,11.47,77.3
9/1/93,2.11895,-0.30095,24.61,3452.2,385.5,1.98,2960.3739,11.48,77.9
10/1/93,2.2386,-0.27195,24.74,3456.7,380.4,1.98,2963.5611,11.83,82.7
11/1/93,2.56987,0.05931,24.65,3470.1,391.6,1.94,2975.1618,11.78,81.2
12/1/93,2.62829,0.11773,24.78,3474.5,389.8,1.92,2993.4903,13.83,88.2
1/1/94,2.81862,0.35864,25.06,3474.9,384.4,1.9,3005.7247,12.57,94.3
2/1/94,3.18116,0.72117,24.88,3475.7,379.3,1.79,3008.2815,10.65,93.2
3/1/94,3.49592,1.03593,24.36,3480.1,378.6,1.65,3038.4755,15.83,91.5
4/1/94,4.26194,1.63997,23.44,3481.3,376.6,1.55,3057.0976,23.87,92.6
5/1/94,4.47908,1.8571,23.59,3490.8,382.1,1.44,3062.0291,14.11,92.8
6/1/94,4.27291,1.65094,23.69,3479.5,391,1.55,3077.3477,12.72,91.2
7/1/94,4.41097,1.89776,23.42,3488.2,385.2,1.5,3103.7666,14.36,89
8/1/94,4.42586,1.91266,23.95,3485.7,387.6,1.5,3116.2484,11.17,91.7
9/1/94,4.4515,1.9383,23.98,3486.1,386.2,1.52,3129.2395,11.86,91.5
10/1/94,4.87168,2.27439,23.75,3484.3,383.7,1.46,3139.8265,15.44,92.7
11/1/94,5.16598,2.56868,23.51,3487.2,383.1,1.36,3150.4609,14.84,91.6
12/1/94,5.21765,2.62035,23.15,3486.4,383.1,1.29,3174.3306,16.69,95.1
1/1/95,4.86738,2.35955,23.49,3492.4,385.3,1.3,3199.6659,14.25,97.6
2/1/95,4.49842,1.9906,24.14,3489.9,387.4,1.38,3206.5015,11.73,95.1
3/1/95,4.23799,1.73016,24.53,3491.1,399.5,1.5,3217.2102,11.65,90.3
4/1/95,3.90887,1.42816,25.07,3499.2,404.8,1.54,3270.467,13.5,92.5
5/1/95,3.5511,1.07039,25.68,3524.2,396.2,1.57,3289.0579,12.14,89.8
6/1/95,3.16488,0.68417,26.26,3548.9,392.9,1.73,3306.6882,12.21,92.7
7/1/95,3.28064,0.73496,26.99,3567.4,391.9,1.76,3333.1853,11.57,94.4
8/1/95,3.49827,0.9526,26.86,3589,385.3,1.7,3354.4729,13.56,96.2
9/1/95,3.21587,0.6702,27.59,3602.1,383.5,1.73,3372.6664,11.29,88.9
10/1/95,2.9348,0.35177,27.54,3613.4,387.3,1.71,3375.1765,13.95,90.2
11/1/95,2.89587,0.31283,28,3619.9,383.2,1.75,3386.6444,13.41,88.2
12/1/95,2.67778,0.09475,28.75,3629.5,381.1,1.78,3401.1628,11.11,91
1/1/96,2.69403,0.1098,28.42,3647.9,377.9,1.82,3417.3975,12.19,89.3
2/1/96,2.92418,0.33995,29.78,3661.8,369,1.82,3432.564,12.65,88.5
3/1/96,3.45574,0.87151,29.36,3686.9,355.1,1.76,3441.4349,16.72,93.7
4/1/96,3.89155,1.04383,29.1,3697.7,346.6,1.68,3461.2584,17.9,92.7
5/1/96,4.06421,1.21649,29.52,3709.6,351.8,1.56,3468.8815,16.07,89.4
6/1/96,4.24085,1.39314,29.67,3722.5,344.5,1.49,3483.2677,16.86,92.4
7/1/96,4.20581,1.35669,28.38,3737.1,343.8,1.48,3488.0658,13.78,94.7
8/1/96,4.0442,1.19508,28.99,3744,340.8,1.54,3497.9017,18.76,95.3
9/1/96,4.17895,1.32983,29.27,3753.4,324.1,1.52,3520.4044,18.47,94.7
10/1/96,4.01002,1.04547,30.16,3772.8,324,1.54,3548.8562,17.05,96.5
11/1/96,3.62331,0.65876,31.38,3795.1,322.8,1.59,3567.5754,17.89,99.2
12/1/96,3.66358,0.69902,31.51,3818.6,324.9,1.59,3588.0906,17.93,96.9
1/1/97,4.07542,1.18939,32.17,3834.6,306,1.51,3611.4408,21.14,97.4
2/1/97,3.92,1.03397,33.19,3846.3,288.7,1.52,3627.2391,19.58,99.7
3/1/97,4.25691,1.37088,32.64,3861.2,289.1,1.49,3659.0242,20.89,100
4/1/97,4.27761,1.12446,31.23,3877,297.5,1.45,3699.1908,20.84,101.4
5/1/97,4.16455,1.0114,33.84,3889.2,295.9,1.49,3723.1832,19.87,103.2
6/1/97,4.07162,0.91848,35.31,3906,308.3,1.53,3748.9314,20.85,104.5
7/1/97,3.806,0.68621,36.97,3923.9,299.1,1.53,3773.2355,21,107.1
8/1/97,4.01084,0.89106,36.73,3957.4,292.3,1.52,3786.4457,22.29,104.4
9/1/97,3.98778,0.86799,36.78,3973.1,292.9,1.49,3813.4813,24.53,106
10/1/97,3.75182,0.63547,37,3992.3,284.1,1.54,3828.9023,22.32,105.6
11/1/97,3.72689,0.61053,36.32,4014.8,289,1.54,3864.3169,32.09,107.2
12/1/97,3.53999,0.42363,37.06,4032.9,295.9,1.51,3886.1452,26.01,102.1
1/1/98,3.2754,0.1185,36.83,4056.2,294.1,1.65,3924.3938,23.42,106.6
2/1/98,3.30944,0.15254,38.86,4088.9,291.7,1.68,3955.402,21.36,110.4
3/1/98,3.39347,0.23657,40.58,4114.3,287.1,1.67,3996.9438,19.19,106.5
4/1/98,3.50856,0.31608,41.63,4140.2,287.3,1.69,4006.9691,23.37,108.7
5/1/98,3.46324,0.27076,41.22,4164.4,286,1.65,4025.7255,19.34,106.5
6/1/98,3.25679,0.06431,40.99,4184.1,282.6,1.63,4041.1112,22.83,105.6
7/1/98,3.22075,-0.11329,42.56,4203.8,276.4,1.69,4053.462,18,105.2
8/1/98,2.8665,-0.46755,39.36,4228.7,261.3,1.8,4096.4773,25.98,104.4
9/1/98,2.45982,-0.87422,37.21,4267.7,256.1,2.28,4122.9258,36.48,100.9
10/1/98,2.30257,-1.20209,37.44,4307.9,256.7,2.65,4172.9303,43.48,97.4
11/1/98,2.48808,-1.01658,41.38,4346.6,264.7,2.51,4228.6683,27.26,102.7
12/1/98,2.19673,-1.30793,42.93,4375.6,310.7,2.58,4239.3785,24.97,100.5
1/1/99,2.389,-1.07556,44.81,4403,293.2,2.57,4247.6741,26.17,103.9
2/1/99,2.84759,-0.61697,44.56,4425.8,287.1,2.39,4239.5843,27.67,108.1
3/1/99,3.19748,-0.26707,45.55,4432.6,287.3,2.3,4263.1505,28.37,105.7
4/1/99,2.9771,-0.50283,46.97,4461.4,286,2.3,4277.3109,22.06,104.6
5/1/99,3.45787,-0.02206,46.75,4486.1,282.6,2.18,4285.3009,24.15,106.8
6/1/99,3.93695,0.45702,46.27,4508,276.4,2.12,4316.9533,26.62,107.3
7/1/99,3.71507,0.11279,48.01,4535.4,261.3,2.16,4329.2982,19.69,106
8/1/99,4.04345,0.44117,45.87,4552.7,256.1,2.21,4351.5836,25.59,104.5
9/1/99,3.85341,0.25113,45.15,4568.8,256.7,2.28,4382.4517,22.93,107.2
10/1/99,3.98844,0.17898,44.26,4592.7,264.7,2.27,4413.0262,24.93,103.2
