Date,Price,Dividend,P/D ratio
1/1/90,339.97,11.14,30.51795332
2/1/90,330.45,11.23,29.42564559
3/1/90,338.46,11.32,29.89929329
4/1/90,338.18,11.44,29.56118881
5/1/90,350.25,11.55,30.32467532
6/1/90,360.39,11.66,30.90823328
7/1/90,360.03,11.73,30.69309463
8/1/90,330.75,11.78,28.07724958
9/1/90,315.41,11.83,26.66187658
10/1/90,307.12,11.93,25.74350377
11/1/90,315.29,12.01,26.25228976
12/1/90,328.75,12.09,27.19189413
1/1/91,325.49,12.11,26.87778695
2/1/91,362.26,12.11,29.91412056
3/1/91,372.28,12.11,30.74153592
4/1/91,379.68,12.13,31.30090684
5/1/91,377.99,12.14,31.13591433
6/1/91,378.29,12.15,31.13497942
7/1/91,380.23,12.19,31.19196062
8/1/91,389.4,12.24,31.81372549
9/1/91,387.2,12.28,31.53094463
10/1/91,386.88,12.25,31.58204082
11/1/91,385.92,12.23,31.55519215
12/1/91,388.51,12.2,31.84508197
1/1/92,416.08,12.24,33.99346405
2/1/92,412.56,12.28,33.59609121
3/1/92,407.36,12.32,33.06493506
4/1/92,407.41,12.32,33.06899351
5/1/92,414.81,12.32,33.66964286
6/1/92,408.27,12.32,33.1387987
7/1/92,415.05,12.34,33.63452188
8/1/92,417.93,12.37,33.78577203
9/1/92,418.48,12.4,33.7483871
10/1/92,412.5,12.39,33.29297821
11/1/92,422.84,12.38,34.15508885
12/1/92,435.64,12.39,35.1606134
1/1/93,435.23,12.41,35.07091056
2/1/93,441.7,12.45,35.47791165
3/1/93,450.16,12.48,36.07051282
4/1/93,443.08,12.49,35.47477982
5/1/93,445.25,12.51,35.59152678
6/1/93,448.06,12.52,35.78753994
7/1/93,447.29,12.52,35.72603834
8/1/93,454.13,12.52,36.27236422
9/1/93,459.24,12.52,36.68051118
10/1/93,463.9,12.54,36.99362041
11/1/93,462.89,12.56,36.85429936
12/1/93,465.95,12.58,37.03895072
1/1/94,472.99,12.62,37.47939778
2/1/94,471.58,12.67,37.22020521
3/1/94,463.81,12.71,36.49173879
4/1/94,447.23,12.75,35.07686275
5/1/94,450.9,12.8,35.2265625
6/1/94,454.83,12.84,35.4228972
7/1/94,451.4,12.87,35.07381507
8/1/94,464.24,12.9,35.9875969
9/1/94,466.96,12.92,36.14241486
10/1/94,463.81,13.01,35.65026902
11/1/94,461.01,13.1,35.19160305
12/1/94,455.19,13.17,34.56264237
1/1/95,465.25,13.18,35.29969651
2/1/95,481.92,13.18,36.56449165
3/1/95,493.15,13.17,37.44495065
4/1/95,507.91,13.24,38.36178248
5/1/95,523.81,13.31,39.35462059
6/1/95,539.35,13.36,40.37050898
7/1/95,557.37,13.44,41.47098214
8/1/95,559.11,13.51,41.38490007
9/1/95,578.77,13.58,42.61929308
10/1/95,582.92,13.65,42.7047619
11/1/95,595.53,13.72,43.40597668
12/1/95,614.57,13.79,44.56635243
1/1/96,614.42,13.89,44.23470122
2/1/96,649.54,14,46.39571429
3/1/96,647.07,14.1,45.89148936
4/1/96,647.17,14.16,45.70409605
5/1/96,661.23,14.21,46.53272343
6/1/96,668.5,14.27,46.84653118
7/1/96,644.07,14.4,44.72708333
8/1/96,662.68,14.53,45.60770819
9/1/96,674.88,14.66,46.03547067
10/1/96,701.46,14.74,47.58887381
11/1/96,735.67,14.82,49.64035088
12/1/96,743.25,14.9,49.88255034
1/1/97,766.22,14.95,51.25217391
2/1/97,798.39,15.01,53.19053964
3/1/97,792.16,15.06,52.6002656
4/1/97,763.93,15.09,50.62491716
5/1/97,833.09,15.13,55.06212822
6/1/97,876.29,15.16,57.80277045
7/1/97,925.29,15.22,60.79434954
8/1/97,927.24,15.27,60.72298625
9/1/97,937.02,15.33,61.12328767
10/1/97,951.16,15.39,61.80376868
11/1/97,938.92,15.44,60.81088083
12/1/97,962.37,15.5,62.0883871
1/1/98,963.36,15.55,61.95241158
2/1/98,1023.74,15.6,65.62435897
3/1/98,1076.83,15.64,68.85102302
4/1/98,1112.2,15.75,70.61587302
5/1/98,1108.42,15.85,69.9318612
6/1/98,1108.39,15.95,69.49153605
7/1/98,1156.58,16.02,72.19600499
8/1/98,1074.62,16.08,66.82960199
9/1/98,1020.64,16.14,63.23667906
10/1/98,1032.47,16.17,63.85095857
11/1/98,1144.43,16.18,70.73114957
12/1/98,1190.05,16.2,73.45987654
1/1/99,1248.77,16.28,76.70577396
2/1/99,1246.58,16.37,76.15027489
3/1/99,1281.66,16.45,77.91246201
4/1/99,1334.76,16.45,81.14042553
5/1/99,1332.07,16.45,80.9768997
6/1/99,1322.55,16.45,80.39817629
7/1/99,1380.99,16.51,83.64566929
8/1/99,1327.49,16.58,80.06574186
9/1/99,1318.17,16.64,79.21694712
10/1/99,1300.01,16.66,78.03181273
11/1/99,1391,16.67,83.44331134
12/1/99,1428.68,16.69,85.60095866
1/1/00,1425.59,16.71,85.31358468
2/1/00,1388.87,16.74,82.96714456
3/1/00,1442.21,16.76,86.05071599
4/1/00,1461.36,16.74,87.29749104
5/1/00,1418.48,16.72,84.83732057
6/1/00,1461.96,16.7,87.54251497
7/1/00,1473,16.58,88.84197829
8/1/00,1485.46,16.47,90.191864
9/1/00,1468.05,16.35,89.78899083
10/1/00,1390.14,16.32,85.18014706
11/1/00,1378.04,16.3,84.54233129
12/1/00,1330.93,16.27,81.80270436
1/1/01,1335.63,16.17,82.59925788
2/1/01,1305.75,16.07,81.25388923
3/1/01,1185.85,15.97,74.25485285
4/1/01,1189.84,15.88,74.92695214
5/1/01,1270.37,15.78,80.50506971
6/1/01,1238.71,15.69,78.94901211
7/1/01,1204.45,15.71,76.66772756
8/1/01,1178.5,15.72,74.96819338
9/1/01,1044.64,15.74,66.36848793
10/1/01,1076.59,15.74,68.39834816
11/1/01,1129.68,15.74,71.77128335
12/1/01,1144.93,15.74,72.74015248
1/1/02,1140.21,15.74,72.44027954
2/1/02,1100.67,15.73,69.9726637
3/1/02,1153.79,15.73,73.34965035
4/1/02,1111.93,15.83,70.24194567
5/1/02,1079.25,15.94,67.70702635
6/1/02,1014.02,16.04,63.21820449
7/1/02,903.59,15.96,56.61591479
8/1/02,912.55,15.88,57.46536524
9/1/02,867.81,15.8,54.92468354
10/1/02,854.63,15.89,53.78414097
11/1/02,909.93,15.98,56.94180225
12/1/02,899.18,16.07,55.95395146
1/1/03,895.84,16.12,55.57320099
2/1/03,837.03,16.17,51.76437848
3/1/03,846.63,16.22,52.19667078
4/1/03,890.03,16.2,54.94012346
5/1/03,935.96,16.19,57.81099444
6/1/03,988,16.17,61.10080396
7/1/03,992.54,16.31,60.85469037
8/1/03,989.53,16.45,60.15379939
9/1/03,1019.44,16.59,61.4490657
10/1/03,1038.73,16.86,61.60913405
11/1/03,1049.9,17.12,61.32593458
12/1/03,1080.64,17.39,62.14146061
1/1/04,1132.52,17.6,64.34772727
2/1/04,1143.36,17.81,64.19764177
3/1/04,1123.98,18.02,62.37402886
4/1/04,1133.36,18.21,62.23833059
5/1/04,1102.78,18.41,59.90114068
6/1/04,1132.76,18.6,60.90107527
7/1/04,1105.85,18.79,58.85311336
8/1/04,1088.94,18.97,57.40326832
9/1/04,1117.66,19.16,58.33298539
10/1/04,1117.21,19.25,58.03688312
11/1/04,1168.94,19.35,60.41033592
12/1/04,1199.21,19.44,61.6877572
1/1/05,1181.41,19.7,59.97005076
2/1/05,1199.63,19.97,60.07160741
3/1/05,1194.9,20.23,59.06574394
4/1/05,1164.43,20.46,56.91251222
5/1/05,1178.28,20.7,56.92173913
6/1/05,1202.25,20.93,57.44147157
7/1/05,1222.24,21.11,57.89862624
8/1/05,1224.27,21.29,57.50446219
9/1/05,1225.92,21.47,57.0992082
10/1/05,1191.96,21.72,54.87845304
11/1/05,1237.37,21.97,56.32089213
12/1/05,1262.07,22.22,56.79882988
1/1/06,1278.73,22.41,57.06068719
2/1/06,1276.65,22.59,56.51394422
3/1/06,1293.74,22.78,56.7928007
4/1/06,1302.17,23,56.61608696
5/1/06,1290.01,23.22,55.55598622
6/1/06,1253.17,23.44,53.46288396
7/1/06,1260.24,23.66,53.26458157
8/1/06,1287.15,23.88,53.90075377
9/1/06,1317.74,24.1,54.6780083
10/1/06,1363.38,24.36,55.9679803
11/1/06,1388.64,24.62,56.40292445
12/1/06,1416.42,24.88,56.93006431
1/1/07,1424.16,25.08,56.784689
2/1/07,1444.8,25.29,57.12930012
3/1/07,1406.95,25.49,55.19615536
4/1/07,1463.64,25.72,56.9066874
5/1/07,1511.14,25.94,58.25520432
6/1/07,1514.19,26.17,57.85976309
7/1/07,1520.71,26.44,57.51550681
8/1/07,1454.62,26.71,54.4597529
9/1/07,1497.12,26.98,55.48999259
10/1/07,1539.66,27.23,56.54278369
11/1/07,1463.39,27.48,53.25291121
12/1/07,1479.22,27.73,53.34367111
1/1/08,1378.76,27.92,49.38252149
2/1/08,1354.87,28.11,48.19886162
3/1/08,1316.94,28.3,46.53498233
4/1/08,1370.47,28.44,48.18811533
5/1/08,1403.22,28.57,49.11515576
6/1/08,1341.25,28.71,46.71717172
7/1/08,1257.33,28.76,43.71801113
8/1/08,1281.47,28.8,44.49548611
9/1/08,1216.95,28.85,42.18197574
10/1/08,968.8,28.7,33.75609756
11/1/08,883.04,28.54,30.94043448
12/1/08,877.56,28.39,30.91088411
1/1/09,865.58,28.01,30.90253481
2/1/09,805.23,27.64,29.13277858
3/1/09,757.13,27.26,27.77439472
4/1/09,848.15,26.7,31.7659176
5/1/09,902.41,26.15,34.50898662
6/1/09,926.12,25.59,36.19069949
7/1/09,935.82,25.03,37.38793448
8/1/09,1009.73,24.46,41.28086672
9/1/09,1044.55,23.9,43.70502092
10/1/09,1067.66,23.4,45.62649573
11/1/09,1088.07,22.91,47.4932344
12/1/09,1110.38,22.41,49.54841589
1/1/10,1123.58,22.24,50.52068345
2/1/10,1089.16,22.07,49.35024921
3/1/10,1152.05,21.9,52.60502283
4/1/10,1197.32,21.95,54.5476082
5/1/10,1125.06,21.99,51.16234652
6/1/10,1083.36,22.04,49.15426497
7/1/10,1079.8,22.14,48.77145438
8/1/10,1087.28,22.25,48.86651685
9/1/10,1122.08,22.35,50.2049217
10/1/10,1171.58,22.48,52.11654804
11/1/10,1198.89,22.6,53.04823009
12/1/10,1241.53,22.73,54.62076551
1/1/11,1282.62,22.96,55.86324042
2/1/11,1321.12,23.2,56.94482759
3/1/11,1304.49,23.43,55.67605634
4/1/11,1331.51,23.73,56.11083017
5/1/11,1338.31,24.04,55.67013311
6/1/11,1287.29,24.34,52.88783895
7/1/11,1325.19,24.62,53.82575142
8/1/11,1185.31,24.9,47.60281124
9/1/11,1173.88,25.18,46.61953932
10/1/11,1207.22,25.6,47.15703125
11/1/11,1226.42,26.01,47.15186467
12/1/11,1243.32,26.43,47.04199773
1/1/12,1300.58,26.74,48.63799551
2/1/12,1352.49,27.04,50.0181213
3/1/12,1389.24,27.35,50.79488117
4/1/12,1386.43,27.67,50.10589086
5/1/12,1341.27,28,47.9025
6/1/12,1323.48,28.32,46.73305085
7/1/12,1359.78,28.74,47.3131524
8/1/12,1403.45,29.17,48.11278711
9/1/12,1443.42,29.59,48.78066914
10/1/12,1437.82,30.14,47.70471135
11/1/12,1394.51,30.7,45.4237785
12/1/12,1422.29,31.25,45.51328
1/1/13,1480.4,31.54,46.93722257
2/1/13,1512.31,31.82,47.52702703
3/1/13,1550.83,32.11,48.29741514
4/1/13,1570.7,32.5,48.32923077
5/1/13,1639.84,32.88,49.87347932
6/1/13,1618.77,33.27,48.65554554
7/1/13,1668.68,33.65,49.58930163
8/1/13,1670.09,34.02,49.09141681
9/1/13,1687.17,34.4,49.04563953
10/1/13,1720.03,34.6,49.71184971
11/1/13,1783.54,34.79,51.265881
12/1/13,1807.78,34.99,51.66561875
1/1/14,1822.36,35.4,51.47909605
2/1/14,1817.04,35.82,50.72696817
3/1/14,1863.52,36.23,51.43582666
4/1/14,1864.26,36.61,50.92215242
5/1/14,1889.77,37,51.07486486
6/1/14,1947.09,37.38,52.08908507
7/1/14,1973.1,37.75,52.26754967
8/1/14,1961.53,38.12,51.45671563
9/1/14,1993.23,38.49,51.78565861
10/1/14,1937.27,38.81,49.91677403
11/1/14,2044.57,39.12,52.2640593
12/1/14,2054.27,39.44,52.08595335
1/1/15,2028.18,39.9,50.83157895
2/1/15,2082.2,40.35,51.60346964
3/1/15,2079.99,40.81,50.96765499
4/1/15,2094.86,41.12,50.94503891
5/1/15,2111.94,41.43,50.97610427
6/1/15,2099.29,41.74,50.29444178
7/1/15,2094.14,42,49.86047619
8/1/15,2039.87,42.25,48.28094675
9/1/15,1944.41,42.51,45.74006116
10/1/15,2024.81,42.8,47.30864486
11/1/15,2080.62,43.1,48.27424594
12/1/15,2054.08,43.39,47.33994008
1/1/16,1918.6,43.55,44.05510907
2/1/16,1904.42,43.72,43.55946935
3/1/16,2021.95,43.88,46.07907931
4/1/16,2075.54,44.07,47.09643749
5/1/16,2065.55,44.27,46.65800768
6/1/16,2083.89,44.46,46.87112011
7/1/16,2148.9,44.65,48.12765957
8/1/16,2170.95,44.84,48.41547725
9/1/16,2157.69,45.03,47.91672219
10/1/16,2143.02,45.25,47.35955801
11/1/16,2164.99,45.48,47.60312225
12/1/16,2246.63,45.7,49.16039387
1/1/17,2275.12,45.93,49.53450904
2/1/17,2329.91,46.15,50.48559047
3/1/17,2366.82,46.38,51.03104787
4/1/17,2359.31,46.66,50.56386627
5/1/17,2395.35,46.94,51.03003835
6/1/17,2433.99,47.22,51.54574333
7/1/17,2454.1,47.54,51.62179218
8/1/17,2456.22,47.85,51.33166144
9/1/17,2492.84,48.17,51.75088229
10/1/17,2557,48.42,52.80875671
11/1/17,2593.61,48.68,53.27875924
12/1/17,2664.34,48.93,54.45207439
1/1/18,2789.8,49.29,56.59971597
2/1/18,2705.16,49.64,54.49556809
3/1/18,2702.77,50,54.0554
4/1/18,2653.63,50.33,52.72461752
5/1/18,2701.49,50.66,53.32589814
6/1/18,2754.35,50.99,54.0174544
7/1/18,2793.64,51.44,54.30870918
8/1/18,2857.82,51.89,55.07458084
9/1/18,2901.5,52.34,55.4356133
10/1/18,2785.46,52.81,52.74493467
11/1/18,2723.23,53.28,51.11167417
12/1/18,2567.31,53.75,47.76390698
1/1/19,2607.39,54.15,48.15124654
2/1/19,2754.86,54.54,50.51081775
3/1/19,2803.98,54.94,51.03713142
4/1/19,2903.8,55.32,52.49096168
5/1/19,2854.71,55.7,51.25152603
6/1/19,2890.17,56.08,51.53655492
7/1/19,2996.11,56.46,53.06606447
8/1/19,2897.5,56.84,50.97642505
9/1/19,2982.16,57.22,52.11744145
10/1/19,2977.68,57.56,51.73175817
11/1/19,3104.9,57.9,53.62521589
12/1/19,3176.75,58.24,54.54584478
1/1/20,3278.2,58.69,55.85619356
2/1/20,3277.31,59.13,55.42550313
3/1/20,2652.39,59.58,44.51812689
4/1/20,2761.98,59.61,46.33417212
5/1/20,2919.62,59.65,48.9458508
6/1/20,3104.66,59.68,52.02178284
7/1/20,3207.62,59.4,54.0003367
8/1/20,3391.71,59.13,57.36022324
9/1/20,3365.52,58.85,57.18810535
10/1/20,3418.7,58.66,58.27991817
11/1/20,3548.99,58.47,60.69762271
12/1/20,3695.31,58.28,63.40614276
1/1/21,3793.75,58.06,65.3418877
2/1/21,3883.43,57.85,67.12929991
3/1/21,3910.51,57.63,67.85545723
4/1/21,4141.18,57.71,71.75844741
5/1/21,4167.85,57.79,72.1206091
6/1/21,4238.49,57.87,73.24157595
7/1/21,4363.71,58.33,74.81073204
8/1/21,4454.21,58.79,75.76475591
9/1/21,4445.54,59.25,75.03021097
10/1/21,4460.71,59.64,74.79393025
11/1/21,4667.39,60.02,77.76391203
12/1/21,4674.77,60.4,77.3968543
1/1/22,4573.82,60.92,75.07912016
2/1/22,4435.98,61.45,72.18844589
3/1/22,4391.27,61.97,70.86122317
4/1/22,4391.3,62.65,70.09257781
5/1/22,4040.36,63.34,63.78844332
6/1/22,3898.95,64.02,60.90206186
7/1/22,3911.73,64.45,60.69402638
8/1/22,4158.56,64.89,64.08629989
9/1/22,3850.52,65.32,58.94856093
10/1/22,3726.05,65.85,56.58390281
11/1/22,3917.49,66.39,59.00723
12/1/22,3912.38,66.92,58.46353855
1/1/23,3960.66,67.35,58.80712695
2/1/23,4079.68,67.78,60.19002656
3/1/23,3968.56,68.21,58.18149831
4/1/23,4121.47,68.38,60.27303305
5/1/23,4146.17,68.54,60.49270499
6/1/23,4345.37,68.71,63.24217727
7/1/23,4508.08,68.91,65.41982296
8/1/23,4457.36,69.11,64.49659962
9/1/23,4409.1,69.31,63.61419709
10/1/23,4269.4,69.64,61.30672028
11/1/23,4460.06,69.97,63.74246105
12/1/23,4685.05,70.3,66.64366999
1/1/24,4815.61,70.48,68.32590806
2/1/24,5011.96,70.65,70.94069356
3/1/24,5170.57,70.82,73.01002542
4/1/24,5112.49,71.21,71.79455133
5/1/24,5235.23,71.59,73.12795083
6/1/24,5415.14,71.98,75.23117533
